Y2S1, , 
Subject,AU,Grade
EE2007 ENGINEERING MATHEMATICS II,4,C+
EE2001 CIRCUIT ANALYSIS,4,B+
EE2004 DIGITAL ELECTRONICS,4,B-
PH1012 PHYSICS A,4,B+
MH2810 MATHEMATICS A,4,C+
  , , 
Y2S2, , 
Subject,AU,Grade
EE2002 ANALOG ELECTRONICS,4,C+
ML0001 ABSOLUTE BASICS FOR CAREER,1,P
EE2010 SIGNALS & SYSTEMS,4,B-
EE2008 DATA STRUCTURES & ALGORITHMS,4,B+
EE2006 ENGINEERING MATHEMATICS I,4,C+
